bid,p_win,p_win_pct,p_win_pct_mc_se,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,utility_v1500_mc_se,relative_utility
265.38,5e-324,4.94e-322,0.0,164.75543333333334,1335.2445666666667,6.596e-321,0.0,8.7e-322
265.63,5e-324,4.94e-322,0.0,164.75543333333334,1335.2445666666667,6.596e-321,0.0,8.7e-322
265.88,5e-324,4.94e-322,0.0,164.75543333333334,1335.2445666666667,6.596e-321,0.0,8.7e-322
266.13,5e-324,4.94e-322,0.0,164.75546666666668,1335.2445333333333,6.596e-321,0.0,8.7e-322
266.38,5e-324,4.94e-322,0.0,164.75546666666668,1335.2445333333333,6.596e-321,0.0,8.7e-322
266.63,5e-324,4.94e-322,0.0,164.75546666666668,1335.2445333333333,6.596e-321,0.0,8.7e-322
266.88,5e-324,4.94e-322,0.0,164.75546666666668,1335.2445333333333,6.596e-321,0.0,8.7e-322
267.13,5e-324,4.94e-322,0.0,164.75546666666668,1335.2445333333333,6.596e-321,0.0,8.7e-322
267.38,5e-324,4.94e-322,0.0,164.7555,1335.2445,6.596e-321,0.0,8.7e-322
267.63,5e-324,4.94e-322,0.0,164.75553333333335,1335.2444666666665,6.596e-321,0.0,8.7e-322
267.88,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
268.13,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
268.38,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
268.63,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
268.88,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
269.13,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
269.38,5e-324,4.94e-322,0.0,164.75556666666665,1335.2444333333333,6.596e-321,0.0,8.7e-322
269.63,5e-324,4.94e-322,0.0,164.7556,1335.2444,6.596e-321,0.0,8.7e-322
269.88,5e-324,4.94e-322,0.0,164.7556,1335.2444,6.596e-321,0.0,8.7e-322
270.13,5e-324,4.94e-322,0.0,164.75563333333332,1335.2443666666668,6.596e-321,0.0,8.7e-322
270.38,5e-324,4.94e-322,0.0,164.75566666666666,1335.2443333333333,6.596e-321,0.0,8.7e-322
270.63,5e-324,4.94e-322,0.0,164.75566666666666,1335.2443333333333,6.596e-321,0.0,8.7e-322
270.88,5e-324,4.94e-322,0.0,164.7557,1335.2443,6.596e-321,0.0,8.7e-322
271.13,5e-324,4.94e-322,0.0,164.75573333333332,1335.2442666666666,6.596e-321,0.0,8.7e-322
271.38,5e-324,4.94e-322,0.0,164.75576666666666,1335.2442333333333,6.596e-321,0.0,8.7e-322
271.63,5e-324,4.94e-322,0.0,164.75576666666666,1335.2442333333333,6.596e-321,0.0,8.7e-322
271.88,5e-324,4.94e-322,0.0,164.7558,1335.2442,6.596e-321,0.0,8.7e-322
272.13,5e-324,4.94e-322,0.0,164.7558,1335.2442,6.596e-321,0.0,8.7e-322
272.38,5e-324,4.94e-322,0.0,164.75583333333333,1335.2441666666666,6.596e-321,0.0,8.7e-322
272.63,5e-324,4.94e-322,0.0,164.75583333333333,1335.2441666666666,6.596e-321,0.0,8.7e-322
272.88,5e-324,4.94e-322,0.0,164.75586666666666,1335.2441333333334,6.596e-321,0.0,8.7e-322
273.13,5e-324,4.94e-322,0.0,164.7559,1335.2441,6.596e-321,0.0,8.7e-322
273.38,5e-324,4.94e-322,0.0,164.7559,1335.2441,6.596e-321,0.0,8.7e-322
273.63,5e-324,4.94e-322,0.0,164.7559,1335.2441,6.596e-321,0.0,8.7e-322
273.88,5e-324,4.94e-322,0.0,164.75593333333333,1335.2440666666666,6.596e-321,0.0,8.7e-322
274.13,5e-324,4.94e-322,0.0,164.75596666666667,1335.2440333333334,6.596e-321,0.0,8.7e-322
274.38,5e-324,4.94e-322,0.0,164.75596666666667,1335.2440333333334,6.596e-321,0.0,8.7e-322
274.63,5e-324,4.94e-322,0.0,164.756,1335.244,6.596e-321,0.0,8.7e-322
274.88,5e-324,4.94e-322,0.0,164.75603333333333,1335.2439666666667,6.596e-321,0.0,8.7e-322
275.13,5e-324,4.94e-322,0.0,164.75606666666667,1335.2439333333334,6.596e-321,0.0,8.7e-322
275.38,5e-324,4.94e-322,0.0,164.7561,1335.2439,6.596e-321,0.0,8.7e-322
275.63,5e-324,4.94e-322,0.0,164.75613333333334,1335.2438666666667,6.596e-321,0.0,8.7e-322
275.88,5e-324,4.94e-322,0.0,164.75613333333334,1335.2438666666667,6.596e-321,0.0,8.7e-322
276.13,5e-324,4.94e-322,0.0,164.75613333333334,1335.2438666666667,6.596e-321,0.0,8.7e-322
276.38,5e-324,4.94e-322,0.0,164.75613333333334,1335.2438666666667,6.596e-321,0.0,8.7e-322
276.63,5e-324,4.94e-322,0.0,164.75613333333334,1335.2438666666667,6.596e-321,0.0,8.7e-322
276.88,5e-324,4.94e-322,0.0,164.75616666666667,1335.2438333333334,6.596e-321,0.0,8.7e-322
277.13,5e-324,4.94e-322,0.0,164.7562,1335.2438,6.596e-321,0.0,8.7e-322
277.38,5e-324,4.94e-322,0.0,164.75623333333334,1335.2437666666667,6.596e-321,0.0,8.7e-322
277.63,5e-324,4.94e-322,0.0,164.75623333333334,1335.2437666666667,6.596e-321,0.0,8.7e-322
277.88,5e-324,4.94e-322,0.0,164.75623333333334,1335.2437666666667,6.596e-321,0.0,8.7e-322
278.13,5e-324,4.94e-322,0.0,164.75626666666668,1335.2437333333332,6.596e-321,0.0,8.7e-322
278.38,5e-324,4.94e-322,0.0,164.75626666666668,1335.2437333333332,6.596e-321,0.0,8.7e-322
278.63,5e-324,4.94e-322,0.0,164.7563,1335.2437,6.596e-321,0.0,8.7e-322
278.88,5e-324,4.94e-322,0.0,164.75633333333334,1335.2436666666667,6.596e-321,0.0,8.7e-322
279.13,5e-324,4.94e-322,0.0,164.75636666666668,1335.2436333333333,6.596e-321,0.0,8.7e-322
279.38,5e-324,4.94e-322,0.0,164.75636666666668,1335.2436333333333,6.596e-321,0.0,8.7e-322
279.63,5e-324,4.94e-322,0.0,164.75643333333332,1335.2435666666668,6.596e-321,0.0,8.7e-322
279.88,5e-324,4.94e-322,0.0,164.75646666666665,1335.2435333333333,6.596e-321,0.0,8.7e-322
280.13,5e-324,4.94e-322,0.0,164.75646666666665,1335.2435333333333,6.596e-321,0.0,8.7e-322
280.38,5e-324,4.94e-322,0.0,164.75646666666665,1335.2435333333333,6.596e-321,0.0,8.7e-322
280.63,5e-324,4.94e-322,0.0,164.7565,1335.2435,6.596e-321,0.0,8.7e-322
280.88,5e-324,4.94e-322,0.0,164.7565,1335.2435,6.596e-321,0.0,8.7e-322
281.13,5e-324,4.94e-322,0.0,164.7565,1335.2435,6.596e-321,0.0,8.7e-322
281.38,5e-324,4.94e-322,0.0,164.75653333333332,1335.2434666666668,6.596e-321,0.0,8.7e-322
281.63,5e-324,4.94e-322,0.0,164.75656666666666,1335.2434333333333,6.596e-321,0.0,8.7e-322
281.88,5e-324,4.94e-322,0.0,164.75666666666666,1335.2433333333333,6.596e-321,0.0,8.7e-322
282.13,5e-324,4.94e-322,0.0,164.75666666666666,1335.2433333333333,6.596e-321,0.0,8.7e-322
282.38,5e-324,4.94e-322,0.0,164.75666666666666,1335.2433333333333,6.596e-321,0.0,8.7e-322
282.63,5e-324,4.94e-322,0.0,164.75666666666666,1335.2433333333333,6.596e-321,0.0,8.7e-322
282.88,5e-324,4.94e-322,0.0,164.7567,1335.2433,6.596e-321,0.0,8.7e-322
283.13,5e-324,4.94e-322,0.0,164.7567,1335.2433,6.596e-321,0.0,8.7e-322
283.38,5e-324,4.94e-322,0.0,164.7567,1335.2433,6.596e-321,0.0,8.7e-322
283.63,5e-324,4.94e-322,0.0,164.75673333333333,1335.2432666666666,6.596e-321,0.0,8.7e-322
283.88,5e-324,4.94e-322,0.0,164.75673333333333,1335.2432666666666,6.596e-321,0.0,8.7e-322
